,importance
feature_59,0.11603188129386383
feature_37,0.023916326135235342
feature_51,0.023773426762260675
feature_3,0.023124241207538598
feature_48,0.02303071362191601
feature_49,0.022491895100788348
feature_55,0.02133385331373515
feature_47,0.0212295406102665
feature_18,0.019510542266624804
feature_64,0.018351310511161296
feature_57,0.016724177293942613
feature_11,0.016250988232645945
feature_53,0.015178835441247795
feature_0,0.011248388270413716
feature_52,0.009945543592600234
feature_4,0.009288770194578124
feature_17,0.00926033568350439
feature_10,0.009067248881203575
feature_28,0.00832360797652195
feature_26,0.007702989593997125
feature_56,0.007566908840925645
feature_20,0.006666160716701563
feature_27,0.006352454445677491
feature_7,0.006309879694028052
feature_13,0.005733278782781587
feature_40,0.005600504232861323
feature_39,0.005536522347366831
feature_54,0.005493799290592657
feature_1,0.005476022288146452
feature_32,0.0049622236186409145
feature_24,0.004959333633916312
feature_14,0.00489259840915996
feature_12,0.00485832214813173
feature_50,0.00462727472654409
feature_33,0.004470216526599167
feature_19,0.00390195171937612
feature_43,0.0038905572601266865
feature_46,0.0037172977543594365
feature_65,0.003470012038420856
feature_31,0.0032392987234664584
feature_15,0.0031978529977711185
feature_16,0.0031800141798184888
feature_29,0.0031365560906048734
feature_5,0.0030429671817800374
feature_45,0.00289594330005535
feature_21,0.0028039440303997427
feature_41,0.0024348994507952266
feature_2,0.002425905295482208
feature_23,0.0018945520063022127
feature_34,0.001753413582779432
feature_22,0.0015605750284971955
feature_9,0.0012716536613670223
feature_35,0.0011540460709461766
feature_6,0.0011348241507148265
feature_58,0.0007405977519338377
feature_30,0.0005963344703551525
feature_8,8.037291136452235e-05
feature_25,0.0
feature_42,0.0
feature_44,0.0
feature_36,0.0
feature_38,0.0
feature_60,0.0
feature_62,0.0
feature_61,0.0
feature_63,0.0
feature_66,0.0
